編號	職業	類型	介紹	內容	技能	不到一年_最低月薪	不到一年_最高月薪	一年~三年_最低月薪	一年~三年_最高月薪	三年~五年_最低月薪	三年~五年_最高月薪	五年~十年_最低月薪	五年~十年_最高月薪	十年以上_最低月薪	十年以上_最高月薪	圖片	別在意
11	攝影師	A	操作相機或光學攝影器材，拍攝照片或影片	;透過照相機及錄影器材進行人、事、物、景的關鍵影像存留;進行影像或照片編輯，將拍攝的影片或照片以某個題材呈現，達到特定效果;設備的調整、保養、維護;執行攝影工作、勘景、前後的準備工作及相關道具準備與燈光調整	;拍攝／採訪重要事件;執行攝影作業;操作各式相機;設備器材使用及維護;數位影音剪輯;數位攝影技巧	19058	26052	20671	28458	22421	31086	24320	33957	26379	37092	./img/career/攝影師.svg	0
12	文字工作者	A	執行報紙、雜誌、圖書等稿件及素材之選用、審核、編排、修潤、下標、排印等工作	;規劃書籍、技術期刊、貿易雜誌及其他一般刊物的內容;決定哪些素材將吸引讀者、複查及編輯書籍與文章的草稿、提供意見改善作品以及建議可能的標題;接洽與討論進稿與進度規劃與補充資料、監督出版刊物的製作;書籍編輯相關會議聯絡、安排、紀錄等相關事宜，並與作家或作者洽談版權購買問題;校對、潤飾文字並配合主管執行各項編輯作業，以及臨時性的任務交辦;協助、支援部門其他同事處理相關編務工作	;文書處理能力;文書排版設計;繪圖軟體操作;出版品編撰與印刷;文檔資料處理與整合;對文字有高敏感度	27752	34591	29372	36845	31086	39246	32900	41804	34820	44528	./img/career/文字編輯.svg	0
13	會計	C	從事會計交易的紀錄與維持，以及處理現金票據的收支與交易登記	;審查公司財務收支文件及憑證;定期紀錄並核對公司總分類帳;定期編制公司帳務報表，及其他財務分析資料等;盤點公司存貨、計算員工佣金、貨款折讓及利息等;依年度或一定期間準備財務說明及帳目，計算安排薪資發放，編制對帳單等工作;營業稅申報作業及調節表、各類所得扣繳申報及配合國稅局等主管機關來函處理;會計獨立作帳，401申報、調節表、固資攤提	;佣金系統帳務開發;財務帳務處理;財務報表分析;財務與稅務關係建立;網路稅務申報作業;稅務管理暨異常狀況管理	24688	32366	25219	33191	25986	35263	26769	37932	28355	40824	./img/career/會計.svg	0
14	引擎技術人員	R	解決汽機車動力問題，讓引擎順利運作	;了解顧客問題及車況:確認想進行的保養及維修項目;汽車引擎維修和保養:重要引擎零件如：皮帶、軟管、轉向系統、火星塞、煞車與供油系統、輪胎軸承；車輛例行維修。;試駕車輛:使用紅外線引擎分析儀、壓縮儀及電腦診斷設備，測試零件與系統是否正常。	;車輛異常檢查與報修;車輛保養及後續服務;維修人員管理;負責檢查車內設備;汽車引擎維修;試駕車輛	23153	31897	25189	34518	27404	37354	29814	40423	32435	43745	./img/career/引擎技術員.svg	0
15	法務人員	E	公文書與相關契約撰擬及簽署,溝通協調公司各部門執行該專案	;協助公司談判:公文書與相關契約撰擬及簽署,溝通協調公司各部門執行該專案。;協助公司遵循法令:偕同律師進行法律研究，並告知風險嚴重程度。;協助律師撰擬各式法律文件:如律師函,契約書,訴狀等。	;處理公司法務事務;處理法令遵循事務;處理洗錢防制事務;處理涉外專利訴訟;提供法律諮詢意見;訴訟案件規劃處理	31491	43340	33537	46419	35716	49716	38037	53248	40509	57030	./img/career/法務人員.svg	0
16	牙科助理	S	協助牙醫師從事牙齒口腔疾病診斷與治療時，牙醫器材設備及材料的準備	;認識、學習操作及維修牙醫器材設備;指導患者做好口腔衛生及保健;協助牙醫師看診與檢驗	;顧客接待與需求服務;牙醫器材設備準備;疾病分類管理;製作病例管理報表;醫療行政庶務管理;提供解說或咨詢服務	24030	26263	24875	27300	25908	28754	28550	31683	30374	34087	./img/career/牙助.svg	0
17	研究人員	I	未歸類在其他社會學、人類學、哲學、歷史學及政治學等的研究人員，負責其他各領域的研究、執行與技術改良	;研究計畫的構想、規劃以及計畫書的撰寫;其他類科學研究;對實驗結果進行測試改良;發表研究成果;技術建立與開發;技術應用、整合型計畫之研提;期刊論文發表能力;具備數字概念，擅長數據分析;統計軟體操作與運用	;自主學習與探索研究;快速瀏覽與掌握重點;找到各種研究缺失;測試理論的邊界條件;學術寫作;自行主導研究	30501	47963	32242	49628	34151	51755	36309	57581	40031	62770	./img/career/研究員.svg	0
18	社工	S	運用諮商技術、行為治療、團體心理治療等技巧，對社會生活功能有障礙的個人或家庭，提供治療性、矯治性或發展預防性的服務	;個案輔導、團體帶領及社區資源整合連結服務;評估服務個案需求及擬定處遇計畫;撰寫方案計劃與執行成果報告;福利服務資源之發掘、組織、運用及服務網之建構、運作;個案入/出案評估、結案追蹤、轉銜服務;督導社工服務成效、協助解決問題與困難;督導及訓練社工之服務品質與審核相關服務紀錄;日常生活及身體照顧;進行身心功能及障礙程度評估	;通識知識;人類行為知識;社會工作方法;特殊人口群體知識;個案輔導;身心功能障礙程度評估	29598	32177	30172	33551	32036	36596	34019	39572	35585	41818	./img/career/社工.svg	0
19	老師	S	又稱作教育工作者、教員，是大眾對教育從業者的稱呼，是培養社會所需人才的專業	;擬定教學計畫;教學實務技巧;教學成果評量／評估;教導／輔導學生技巧;編寫上課講義;教材教具與教學媒體的運用;課程規劃與安排;資料蒐集、匯整與分析能力;結構業界實務經驗進行個案教學，讓學生與職場接軌	;倫理能力;智識能力;文化、社區與社會能力;教學能力;美學能力;輔導學生技巧	39902	44424	42583	47874	44883	51926	49702	58185	53593	62616	./img/career/老師.svg	0
20	行政人員	C	依照企業或組織內部的行政流程，處理一般行政業務	;依照公司內部各單位或公司外部來文草擬回覆的公文;將核准之文件送打、校對、並登記發出日期、文號等紀錄;將各類文件歸檔以供日後查詢	;文書資料處理;行政文書作業;主管交辦之事項;遞送公文及收發信件;接聽電話;辦理行政業務	24026	32623	25079	33117	27318	34977	28516	37778	30591	41146	./img/career/行政人員.svg	0
21	醫生	I	具生物醫學專業知識，領有醫師執照，從事各種疾病及損傷之例行檢查、診斷、治療，以及進行健康檢查、疾病預防及衛生指導等	;檢查病人，必要時施行或安排放射線檢查或其他特別檢驗;判斷檢查及檢驗結果，作適當之診斷、進行手術或非手術治療，並開設處方箋;指導病人或家屬如何保持或恢復健康;如遇疑難病症或嚴重病況時，得與專家或其他專科醫師會診或轉診;施行外傷急救處置;保管病人病情、治療及處方之紀錄;提供醫療諮詢服務;病房照顧住院病患急初步急症處理;期刊論文發表能力	;病人照護;醫學知識;從工作中學習及成長;人際關係及溝通技巧;專業素養;制度下之臨床工作	57006	75682	71614	93957	86830	113131	100889	143739	116589	171954	./img/career/醫生.svg	0
22	醫護人員	S	具有護理師或護士資格，根據個人、家庭及社區之需求擬定照護計畫，並應用於臨床專業的護理服務	;照顧病患、提供一般健康檢查包括打針、協助服藥與衛生教育等護理臨床工作;教育大眾各種醫藥常識、提供病患家屬治療建議;記錄病患用藥記錄和各種病徵;批價掛號等醫院行政管理、協助醫生完成診斷和分析;緊急(意外傷害)應變處理、輔助醫生進行治療如:手術的協助;運作醫藥機器及管理治療進度和服藥情形;輔助與安撫病患在治療過程中所產生心理上的不適，給予病患和家屬情感上適時援助;急救甦醒器之使用與維護、居家及慢性呼吸照護、呼吸治療器材之使用與維護，以及高壓氧氣治療之操作與維護;活動團體的設計、引導、訓練病人恢復社區及日常生活功能訓練;嬰兒室寶寶照護、護理衛教	;協同醫師進行會診;護理指導及諮詢;具醫療保健常識;器材使用與維護;執行醫療機構行政庶務管理;傷患處理及搬運	32317	35006	33715	36927	36882	41230	40710	46027	42503	48944	./img/career/醫護人員.svg	0
23	餐飲服務生	R	服務第一線，讓大家享受美好饗宴	;引導客人就座和結帳。;協助客人點餐，並送上客人所指定的餐點。;整理和清潔，以利後續的客人就座用餐。例如：收拾餐盤、掃拖地、倒垃圾。	;門市日常營運管理;訂貨/盤點管理;餐飲服務工作;外場人力調配;負責訓練及發展門市人員;現場物料管理	23430	29467	24558	30861	25741	32322	26981	33852	28280	35454	./img/career/餐飲服務員.svg	0
24	髮型師	A	提供顧客相關的美髮資訊，並為顧客進行髮型的造型設計	;顧客諮詢了解顧客需求;為顧客進行髮型及造型設計;修髮、洗髮及吹整髮型;燙髮、染漂頭髮、假髮設計;選用髮型裝飾品及配帶;臉部按摩、修剃及鬍鬚修整;提供顧客相關美髮的資訊	;熟悉美髮用品及功能;剪髮技術與髮型設計;美髮機器與器具使用;燙髮╱染髮設計;毛髮與皮膚基礎保養;了解顧客需求	28674	30663	31260	33989	33676	37819	36234	42429	39272	43680	./img/career/理髮師.svg	0
